display_taxon	CGV001	CGV002	CGV003	CGV004	CGV005	CGV006	CGV007	CGV008	CGV009	CGV010	CGV011	CGV012	CGV013	CGV014	CGV015	CGV016	CGV017	CGV018	CGV019	CGV020	CGV021	CGV022	CGV023	CGV024	CGV025	CGV026	CGV027	CGV028	CGV029	CGV030	CGV031	CGV032	CGV033	CGV034	CGV035	CGV037	CGV038	CGV040	CGV043	CGV045	CGV046	CGV047	CGV062	CGV066	CGV069	CGV081	CGV083	CGV088	CGV089	CGV095	CGV097	CGV102	CGV105	CGV50	CGV60
Lactobacillus iners	0.015127272727272727	0.0026458585586797614	0.10198300283286119	0.8881134881592495	0.7286015515176758	0.08143939393939394	0.05682317682317682	0.004537548211449746	0.9744478353075053	0.2633333333333333	0.5307374744992209	0.1139605319695239	0.049643275476520074	0.006915565766800689	0.08808093477686824	0.42689504373177845	0.09055229009783854	0.44021177281413487	0.03891316553963333	0.0057458447572446185	0.9091609109576255	0.7622903668303908	0.029231652473447518	0.09180995475113123	0.809157733155287	0.001115912128407749	0.0015278109333969922	0.11983442429764014	0.1862864189350855	0.011455854776949622	0.3137916445177318	0.0017761488581900197	0.2232203501237922	0.9943734553294421	0.2118487963852197	0.0015552933605062747	0.004300576843840132	0.3612107254482645	0.9620046620046621	0.9441544885177453	0.03632988597189075	0.08605356837915588	0.2586614265328561	0.005808279178271323	0.007644935230409854	0.6454018227009114	0.8735640540933547	0.0013600033477005483	0.008807294767032849	0.10271454275209262	0.08311880664386219	0.9816113991895071	0.004658742670894373	0.13846153846153847	0.12607112253641817
Lactobacillus crispatus	0.9270787878787878	0.9768151038163146	0.08498583569405099	0.0005720169317011784	0.00046857916384651426	0.18181818181818182	0.001058941058941059	0.9844967102775467	0.0010862256245797342	0.03666666666666667	0.0006425393153743595	0.0006288055837935841	0.5810456820359919	0.9593796668581275	0.0003465804066543438	0.4832604470359572	0.0018215620363936826	0.04796215657404217	0.0017943021751336571	0.9861994778889924	0.0005600149337315662	0.12206292313819196	0.0013156635728638407	0.000248868778280543	0.0004867151717854959	0.0010380577938676736	0.0009548818333731201	0.0026539646072033353	0.36782434248062873	0.0010400088243172972	0.0008461797155534341	0.9378629828023682	0.01104270283297912	0.000578429825945207	0.009178645087142025	0.9517590904215382	0.060156571899464356	0.0003290014805066623	0.0018648018648018648	0.004610299234516353	0.008485812781755503	0.0012085068372587912	0.0005614429082742648	0.00023804422861767717	0.00042471862391165854	0.021541010770505385	0.0	0.0005440013390802193	0.0014070025434276747	0.0009778612219353828	0.0005642345805268541	0.001459758595145758	0.00024799390643544185	0.0	0.005784061696658098
Gardnerella vaginalis	0.004993939393939394	0.0018386474729808512	0.12181303116147309	0.0036895092094726004	0.034883115530796066	0.125	0.5415184815184815	0.0018906450881040612	0.007551854342316247	0.20333333333333334	0.1817261818707532	0.6196459824563242	0.12330955169843467	0.005445146467547387	0.6364371534195934	0.004518950437317784	0.5595200090139152	0.3755834716957489	0.5808290408417353	0.0014561387398496636	0.083698898637297	0.0051329704854197085	0.7070974069467036	0.5821719457013574	0.0013977461343583472	0.689932136971726	0.2883424842842365	0.33537992295580354	0.16660224909355273	0.6374781361781251	0.34120569761008473	0.002368198477586693	0.49091825332486144	0.0008413524741021192	0.002849630807500354	0.0015552933605062747	0.849711578079934	0.3868892910018095	0.005594405594405594	0.005480167014613779	0.04322460885706709	0.19882564661683766	0.4946078087351159	0.549905972529696	0.1425461881503504	0.08616404308202154	0.06278173622218991	0.8073607565803239	0.7624600898317009	0.2574121880622702	0.31110484183799414	0.005904396705738812	0.7522718013214532	0.21153846153846154	0.5200299914310197
Fannyhessea vaginae	0.0011636363636363637	0.00044845060316606124	0.014164305949008499	0.0005434160851161195	0.0033971989378872285	0.01893939393939394	0.18085914085914087	0.0007562580352416244	0.00098277556509595	0.02666666666666667	0.05276854127511927	0.06931533552017942	0.018443190288574166	0.0009649626651349798	0.011338130446263533	0.0003401360544217687	0.12426057726615462	0.0002297338220398275	0.1722652149500769	0.00014430203728239908	0.0006533507560201606	0.00013274923669188903	0.10618601090804708	0.08875565610859729	0.0002745572763918182	0.057067227217875355	0.00044561152224078935	0.07651934522335885	0.004914140577549556	0.18494823592442602	0.048926545091615224	0.00022554271215111362	0.024407878880830833	0.0001314613240784561	0.00031487633232048115	0.00026815402767349565	0.001776885043263288	0.1028787629544333	0.0006993006993006993	0.0024356297842727907	0.00503845133916733	0.04609402708631629	0.05693966828081503	0.023018876907329382	0.24208961562964537	0.010770505385252692	0.0004725897920604915	0.061179227518098504	0.15753016938146003	0.05706798091214895	0.04274076947490919	0.00045753627609046145	0.11783253325775424	0.026923076923076925	0.1655955441302485
Lactobacillus jensenii	0.03272727272727273	0.0016144221713978205	0.0	0.08420089234641345	0.00015619305461550477	0.0	0.0	0.0	0.0	0.023333333333333334	0.05594911088622235	0.00014672130288516963	0.0075604301991268235	0.014910970706490523	0.0	0.02142857142857143	0.0035116711423259657	0.09485918360953605	0.0	0.0019415183197995514	0.0	0.08378689322536395	0.0	0.0	0.14988331315753348	0.0001297572242334592	0.000143232275005968	0.02764876560937206	0.1676421327738207	0.0001575770945935299	0.0	0.035551170002819286	0.00017528099734887492	0.0	0.0054316167325282995	0.017537273409846618	0.02392356819118253	0.0	0.0	0.0	0.0031821797931583136	0.028951620318677998	0.0	0.0	0.0	0.019055509527754765	0.05306335126751006	0.0	0.00024351967097786676	0.0	0.00038791127411221216	0.00019608697546734063	0.0	0.0	0.003213367609254499
Lactobacillus gasseri	0.0003878787878787879	0.0001345351809498184	0.0339943342776204	0.0	0.00019524131826938095	0.005681818181818182	0.0033966033966033966	0.0	0.0008276004758702736	0.0	9.638089730615392e-05	0.00014672130288516963	0.00042593972952827174	0.0003446295232624928	0.0	0.0002672497570456754	0.0002065688907250568	7.309712519449057e-05	0.00012206137245807192	9.182856917970851e-05	0.0	0.0006637461834594451	0.0001913692469620132	0.0	0.0001372786381959091	0.0001297572242334592	0.6971751412429379	0.0003168912963824878	0.018754716286602986	0.0001418193851341769	0.00031460527885961013	0.00016915703411333522	0.04011743826822375	7.887679444707367e-05	0.0	0.0	0.03504841367943964	0.0	0.0	0.0	0.8281622911694511	0.001760216480355196	0.0	0.0	0.0	0.00579950289975145	3.6353060927730115e-05	0.0004603088253755702	0.0002029330591482223	0.0	0.0	0.0003050241840603076	0.0	0.0	0.001392459297343616
Candidatus Lachnocurva vaginae	9.696969696969698e-05	0.00044845060316606124	0.0	0.000686420318041414	0.00027333784557713334	0.0	0.0	0.0	0.0010862256245797342	0.05333333333333334	0.11173758694360111	0.0001362412098219432	0.05200724097540198	0.0	8.251914444151043e-05	0.0	0.0	0.00010442446456355795	3.6618411737421576e-05	0.0	0.00039667724472652606	0.00017699898225585203	0.00010764520141613243	9.049773755656108e-05	3.74396285988843e-05	0.0	3.1829394445770666e-05	9.902853011952743e-05	0.00011963263578304162	4.727312837805896e-05	0.00010848457891710693	0.00033831406822667045	0.00019719112201748427	0.0	0.00017318198277626462	0.00026815402767349565	0.0	0.014015463069583813	0.0	0.0	0.005833996287456908	5.254377553299092e-05	0.00037429527218284323	0.3823704444285748	0.07427266935655129	0.0033140016570008283	0.0	0.0002510775411139474	9.470209426917041e-05	0.3025111476179301	0.1460309623726064	0.0	0.00033656315873381397	0.06923076923076923	0.0
Bacillus (genus)	0.0	0.0	0.0	0.0002860084658505892	0.00013016087884625398	0.0	0.0	0.0	0.000517250297418921	0.03666666666666667	0.00043371403787769266	0.0	0.0	0.0002527283170591614	4.951148666490626e-05	0.0	0.0	0.0	0.0	0.0	0.00023333955572148591	0.00015487410947387053	0.0	6.787330316742082e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016915703411333522	0.0	0.0	0.7219641985610151	0.00010726161106939826	0.0	0.0	0.0	0.0	0.003977724741447892	0.0	0.0	0.00019043538289414174	0.02654491399447866	0.004971002485501243	0.0	0.0001046156421308114	0.0002164619297581038	0.00011734334663224596	0.0	0.0	0.00015942465413706978	0.0	0.0
Berryella sp001552935	0.0	0.0002690703618996368	0.0	0.0001430042329252946	0.0	0.0	0.0	0.0	0.0004655252676770289	0.013333333333333334	0.021605384479462836	0.005292446996929333	0.006431689915876904	0.0002527283170591614	0.029871930287826774	0.00012147716229348882	0.046928696174719724	6.265467873813477e-05	0.013097185264751118	0.0	0.0003033414224379317	8.849949112792601e-05	0.024614869390488948	0.015135746606334842	6.23993809981405e-05	0.009238714365422295	7.957348611442667e-05	0.017894455392598606	0.0001012276148933429	0.030097225067364206	0.03472591371136593	8.457851705666761e-05	0.002169102342192327	0.0	0.00012595053292819246	8.04462083020487e-05	0.00038627935723114956	0.011745352854087843	0.00034965034965034965	0.0	0.0015910898965791568	0.0	0.028773949049056075	0.004975124378109453	0.0028933956253981738	0.0	0.0	0.01598527011758798	0.00017587531792845934	0.06700305092701243	0.07352681877490566	4.357488343718681e-05	0.0064478415673214886	0.0	0.0721936589545844
Amygdalobacter nucleatus	0.0002909090909090909	0.0	0.0	0.00011440338634023568	0.00011714479096162857	0.0	5.994005994005994e-05	0.0	0.0002586251487094605	0.0	0.004224695998586414	0.04348190611932634	0.0015120860398253647	0.00011487650775416428	0.020382228677053076	0.0	0.02264746201949259	8.353957165084636e-05	0.04836071576788809	0.0	7.000186671644577e-05	0.0	0.02026121902210315	0.0008144796380090498	6.23993809981405e-05	0.03737008057923625	0.00011140288056019734	0.00010893138313148017	0.00011963263578304162	0.008934621263453145	0.035854153332103844	0.0	0.0001314607480116562	3.9438397223536837e-05	4.723144984807217e-05	0.00013407701383674783	0.00036052740008240625	0.0017601579207106432	0.0	0.0004349338900487126	0.0007955449482895784	0.0001313594388324773	0.015346106159496572	7.141326858530314e-05	0.00950307921002336	0.0	0.0	0.02468929154287149	0.03187401915688078	0.014628803880153328	0.013118453997249356	0.0002614493006231208	0.011106584238215861	0.026923076923076925	0.000856898029134533
Peptoniphilus harei	9.696969696969698e-05	0.0	0.0	0.0	0.005076274275003905	0.005681818181818182	0.0	0.0	0.00031035017845135263	0.0	0.0001285078630748719	0.0003353629780232448	0.0046640400383345755	9.190120620333141e-05	0.0	0.0	9.389495032957128e-05	7.309712519449057e-05	0.0019529819593291507	0.0	0.00011666977786074296	0.0	0.004939718687206966	0.0451131221719457	0.0	2.595144484669184e-05	7.957348611442667e-05	0.046771174775452805	0.004803710452211363	0.0001418193851341769	0.0018225409258073966	0.0	0.0017089897241515304	0.0	0.0012752491458979487	0.0	0.00030902348578491963	3.290014805066623e-05	0.0	0.0	0.0005303632988597189	0.1756407056629054	0.0009357381804571081	0.0	0.028535782544064556	0.0	0.0	0.0	0.00012175983548893338	0.0	0.0021158796769757027	6.53623251557802e-05	0.0059341399039909305	0.015384615384615385	0.001178234790059983
Aerococcus christensenii	0.0003393939393939394	0.00017938024126642452	0.0	0.0	6.508043942312699e-05	0.005681818181818182	5.994005994005994e-05	0.0	0.0	0.0	0.0030199347822594895	0.005166685880170616	0.009924395698008731	0.00022975301550832856	0.006287958806443095	0.00021865889212827988	0.046590674353533264	0.02731743992982676	0.0018797451358543076	2.623673405134529e-05	0.0	0.0	0.008216917041431442	0.0	0.000124798761996281	0.00011678150181011328	0.00020689106389750936	0.06822075439934246	0.01512892717133234	0.022628070783630893	0.001160784994413044	8.457851705666761e-05	0.08928375802458316	0.0	0.0	5.363080553469913e-05	0.0004635352286773795	0.004721171245270604	0.0	0.0	0.0010607265977194379	0.03867221879228132	0.03932439703370997	0.010807207979242544	0.0007432575918454024	0.0016570008285004142	0.0	0.00119261832029125	0.0063315114454245355	0.004419932723147931	0.005607081143985612	0.00010893720859296701	0.002107948204701256	0.0	0.04787917737789203
