#NAME	CGV001	CGV002	CGV003	CGV004	CGV005	CGV006	CGV007	CGV008	CGV009	CGV010	CGV011	CGV012	CGV013	CGV014	CGV015	CGV016	CGV017	CGV018	CGV019	CGV020	CGV021	CGV022	CGV023	CGV024	CGV025	CGV026	CGV027	CGV028	CGV029	CGV030	CGV031	CGV032	CGV033	CGV034	CGV035	CGV037	CGV038	CGV040	CGV043	CGV045	CGV046	CGV047	CGV062	CGV066	CGV069	CGV081	CGV083	CGV088	CGV089	CGV095	CGV097	CGV102	CGV105	CGV50	CGV60
08e8ed3a513a88b5599f505242a281eb	312	59	36	30963	55833	43	2844	60	18796	79	26411	10841	2331	301	5337	17516	4822	42014	3188	438	23719	34360	2399	4052	64630	86	96	12101	18279	727	28831	63	10157	75265	13424	58	167	21899	8232	10816	137	6535	11021	244	288	779	71722	65	651	2626	2357	44945	263	36	1177
244bee25b63f157f89f1e97e608f5c47	19075	21726	30	20	36	96	53	12992	21	11	40	60	21890	41654	21	19819	97	2730	115	74840	24	4660	110	11	39	80	60	234	31909	66	78	26373	504	44	376	35379	1374	20	16	53	32	92	24	10	16	26	0	26	104	25	16	67	14	0	54
f6c0d5e255fc23b608315df8e9efe557	36	41	43	90	2418	0	27003	0	82	61	8836	0	2284	54	15422	89	7093	62	0	29	87	101	46751	0	33	82	68	589	5815	0	28586	56	7201	0	102	44	0	199	48	0	120	63	0	16528	1293	23	0	30586	16967	574	4719	61	39935	37	1174
64b421b8072426aaddfb8b937fa0ed27	0	0	0	0	0	0	0	25	33	0	45	50760	1022	60	7821	32	79	0	41043	0	0	0	102	0	33	41226	40	0	5123	28371	0	0	7851	0	0	0	0	195	0	0	0	87	18679	0	0	35	0	0	0	3653	746	65	0	0	0
b24cd5a63c535ff4e55a2506d3cd62bb	41	0	0	0	0	38	0	0	0	0	393	7504	59	91	3335	35	1007	23947	1131	39	0	0	9996	836	33	3596	0	3252	425	11506	2345	0	6948	41	56	0	32735	265	0	27	0	13515	658	2887	191	33	4390	4047	36868	50	31	123	140	0	1825
be014e630e00e5c6e3f0ca87daa86d1b	24	10	5	19	261	10	9024	10	19	8	1840	6596	301	42	67	14	3885	22	14113	11	28	6	6933	3454	22	4017	28	7727	534	10794	4496	8	724	10	20	10	69	5859	6	28	19	3509	2288	208	3298	13	39	2538	10895	1215	768	21	4312	7	1546
3c53f93a8518ea184d549ebf34217b9d	313	36	0	1965	12	0	0	0	0	7	776	14	274	649	0	9	187	4362	0	0	0	3787	0	0	12010	10	9	2792	18217	10	0	830	8	0	257	293	719	0	0	0	12	1120	0	0	0	23	1979	0	18	0	11	9	0	0	30
96f9d59d4d210fbeb71ba39924965ac1	0	0	0	0	0	0	0	0	0	0	622	0	160	0	2982	0	18735	0	5174	0	0	0	0	0	0	3865	22	0	0	0	0	0	0	0	0	0	0	9127	0	0	17	1387	0	2890	107	0	0	0	0	903	250	0	1591	0	1167
f3ca08f9bbac735a9686685ad95f238e	8	3	12	0	15	3	170	0	16	0	6	14	20	15	0	11	11	7	10	7	0	30	16	0	11	10	43695	32	2038	9	0	6	1831	6	0	0	37	0	0	0	0	107	0	0	0	0	0	22	15	0	0	14	0	0	13
2156fb6df9754022915f729e6be6dacb	2	10	0	24	21	0	0	0	21	16	6956	13	2442	0	5	0	0	10	3	0	17	8	9	4	3	0	2	10	13	3	10	12	9	0	11	10	0	852	0	0	22	4	16	15968	2798	4	0	12	7	7706	3808	0	19	18	0
