#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
08e8ed3a513a88b5599f505242a281eb	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
244bee25b63f157f89f1e97e608f5c47	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
f6c0d5e255fc23b608315df8e9efe557	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
64b421b8072426aaddfb8b937fa0ed27	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
b24cd5a63c535ff4e55a2506d3cd62bb	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
be014e630e00e5c6e3f0ca87daa86d1b	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	Fannyhessea vaginae
3c53f93a8518ea184d549ebf34217b9d	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii
96f9d59d4d210fbeb71ba39924965ac1	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
f3ca08f9bbac735a9686685ad95f238e	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
2156fb6df9754022915f729e6be6dacb	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Candidatus Lachnocurva	Candidatus Lachnocurva vaginae
2e3e409911947f6b58055dac76eafff2	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
a0d03ba5342c2c82ac244c0c5ef28b92	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
90d9eedcc5abdca89fdde5dc9d39c5bd	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
219bf05081c570e0bd614b8eca79a45a	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
a77d626c3feb181838ff510becf62a4c	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Berryella	Berryella sp001552935
afac6a141515195406ddeab12a6a92da	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Amygdalobacter	Amygdalobacter nucleatus
32df06b2a0b62ad95ab8c30ddbbf86e7	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family_XI	Peptoniphilus	Peptoniphilus harei
e52d36cd246f70457aa8dfff5a2f0a88	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
40210f620a58fb29345647d4b7eb1be0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus christensenii
